C  N-Body;;;;;;;;;;;
N;#1;#2;#3;#4;#5;#6;#7;#8;#9;#10;Promedio
1000000;0,0501;0,0453;0,0492;0,0516;0,0437;0,0443;0,0473;0,0487;0,0454;0,0515;0,0477
10000000;0,3814;0,3800;0,3810;0,3895;0,3803;0,3829;0,3822;0,3807;0,3838;0,3812;0,3823
20000000;0,7632;0,7567;0,7575;0,7578;0,7540;0,7561;0,7561;0,7552;0,7625;0,7574;0,7576
40000000;1,5035;1,5048;1,5041;1,5103;1,5065;1,5064;1,5039;1,5020;1,5038;1,5024;1,5048
100000000;3,7606;3,7494;3,7513;3,7530;3,7499;3,7592;3,7535;3,7533;3,7471;3,7517;3,7529
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Fortran  N-Body;;;;;;;;;;;
N;#1;#2;#3;#4;#5;#6;#7;#8;#9;#10;Promedio
1000000;0,0720;0,0700;0,0730;0,0740;0,0730;0,0700;0,0710;0,0720;0,0720;0,0700;0,0717
10000000;0,5790;0,5590;0,5770;0,5790;0,5590;0,5810;0,5580;0,5730;0,5790;0,5770;0,5721
20000000;1,1420;1,1410;1,1370;1,1370;1,1400;1,1480;1,1420;1,1230;1,1410;1,1190;1,1370
40000000;2,2700;2,2700;2,2620;2,2630;2,2710;2,2620;2,2350;2,2680;2,2640;2,2690;2,2634
100000000;5,6410;5,6470;5,6150;5,6500;5,6520;5,6510;5,6500;5,6500;5,6440;5,6040;5,6404
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Java  N-Body;;;;;;;;;;;
N;#1;#2;#3;#4;#5;#6;#7;#8;#9;#10;Promedio
1000000;0,0940;0,0940;0,0920;0,0900;0,0890;0,0890;0,0920;0,0910;0,0940;0,0930;0,0918
10000000;0,8610;0,8610;0,8540;0,8870;0,8450;0,8570;0,8630;0,8610;0,8480;0,8590;0,8596
20000000;1,7380;1,7330;1,7300;1,7160;1,7150;1,6880;1,7680;1,6990;1,7190;1,7120;1,7218
40000000;3,4210;3,4810;3,4300;3,4350;3,4260;3,4300;3,4220;3,4680;3,4280;3,4270;3,4368
100000000;8,8040;8,5370;8,4980;8,6760;8,5520;8,5420;8,8230;8,6380;8,7480;8,5360;8,6354
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Python  N-Body;;;;;;;;;;;
N;#1;#2;#3;#4;#5;#6;#7;#8;#9;#10;Promedio
1000000;7,2373;7,1225;7,1142;7,1316;7,1187;7,1127;7,1664;7,1480;7,4511;7,6166;7,2219
10000000;73,7534;71,2055;71,2822;71,4683;70,9851;72,1238;71,1567;71,2920;72,7012;71,3585;71,7327
20000000;143,9618;143,2269;142,5048;147,1382;142,4490;142,9671;142,8094;149,5373;146,1101;145,4564;144,6161
40000000;284,2393;286,2825;285,2142;285,7721;286,8204;286,4329;286,4771;289,4184;288,6940;288,9135;286,8264
100000000;709,4474;718,6287;716,1506;714,0876;716,7189;715,9480;732,2092;712,6933;716,7579;733,9337;718,6575
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
